DigitalCode;LetterCode;Units;Currency;Rate;DateReceipt
36;AUD;1;Австралийский доллар;54,7;14.02.2026
944;AZN;1;Азербайджанский манат;45,4085;14.02.2026
12;DZD;100;Алжирских динаров;59,6221;14.02.2026
51;AMD;100;Армянских драмов;20,4792;14.02.2026
764;THB;10;Батов;24,8237;14.02.2026
48;BHD;1;Бахрейнский динар;205,2599;14.02.2026
933;BYN;1;Белорусский рубль;26,9741;14.02.2026
68;BOB;1;Боливиано;11,1714;14.02.2026
986;BRL;1;Бразильский реал;14,9396;14.02.2026
410;KRW;1000;Вон;53,4809;14.02.2026
344;HKD;10;Гонконгских долларов;98,9291;14.02.2026
980;UAH;10;Гривен;17,9551;14.02.2026
208;DKK;1;Датская крона;12,2685;14.02.2026
784;AED;1;Дирхам ОАЭ;21,0196;14.02.2026
840;USD;1;Доллар США;77,1944;14.02.2026
704;VND;10000;Донгов;30,8174;14.02.2026
978;EUR;1;Евро;91,5575;14.02.2026
818;EGP;10;Египетских фунтов;16,4861;14.02.2026
985;PLN;1;Злотый;21,7278;14.02.2026
392;JPY;100;Иен;50,4968;14.02.2026
356;INR;100;Индийских рупий;85,0707;14.02.2026
364;IRR;1000000;Иранских риалов;60,0943;14.02.2026
124;CAD;1;Канадский доллар;56,7397;14.02.2026
634;QAR;1;Катарский риал;21,2073;14.02.2026
192;CUP;10;Кубинских песо;32,1643;14.02.2026
104;MMK;1000;Кьятов;36,7592;14.02.2026
981;GEL;1;Лари;28,7835;14.02.2026
498;MDL;10;Молдавских леев;45,5986;14.02.2026
566;NGN;1000;Найр;57,0266;14.02.2026
554;NZD;1;Новозеландский доллар;46,5675;14.02.2026
934;TMT;1;Новый туркменский манат;22,0555;14.02.2026
578;NOK;10;Норвежских крон;81,451;14.02.2026
512;OMR;1;Оманский риал;200,7657;14.02.2026
946;RON;1;Румынский лей;17,9672;14.02.2026
360;IDR;10000;Рупий;45,878;14.02.2026
710;ZAR;10;Рэндов;48,1403;14.02.2026
682;SAR;1;Саудовский риял;20,5852;14.02.2026
960;XDR;1;СДР (специальные права заимствования);106,519;14.02.2026
941;RSD;100;Сербских динаров;78,0286;14.02.2026
702;SGD;1;Сингапурский доллар;61,1199;14.02.2026
417;KGS;100;Сомов;88,2726;14.02.2026
972;TJS;10;Сомони;81,7201;14.02.2026
50;BDT;100;Так;63,1058;14.02.2026
398;KZT;100;Тенге;15,6175;14.02.2026
496;MNT;1000;Тугриков;21,6502;14.02.2026
949;TRY;10;Турецких лир;17,7013;14.02.2026
860;UZS;10000;Узбекских сумов;63,1655;14.02.2026
348;HUF;100;Форинтов;24,1951;14.02.2026
826;GBP;1;Фунт стерлингов;105,4012;14.02.2026
203;CZK;10;Чешских крон;37,8052;14.02.2026
752;SEK;10;Шведских крон;86,7423;14.02.2026
756;CHF;1;Швейцарский франк;100,3046;14.02.2026
230;ETB;100;Эфиопских быров;49,7845;14.02.2026
156;CNY;1;Юань;11,1523;14.02.2026
